ID,Nome,Endereco,Preco_Score
45,Robert Martin,"4671 Hill Forges Apt. 688, Hessside, IL 97443",49.19358814626683
46,Stephanie Hill,"0128 Kimberly Shoals Suite 571, West Jessica, VA 82016",48.677141782684146
47,Brittany Parrish,"3308 Elizabeth Ford Suite 216, Port Christine, KS 48856",33.79861810378288
48,Keith Edwards,"87080 Ramirez Burg, Mcdonaldberg, DC 45605",13.497272809276936
49,Barbara Little,"2703 Craig Ford, Amandaberg, KY 21304",92.49214009616024
50,Sally Weiss MD,"2669 Russell Crescent Apt. 538, Brooksview, WV 10829",84.77603114323229
51,Billy Hernandez,"36866 Tracy Shoals, Jameston, AL 76873",72.03250907724494
52,Paula Jackson,"1862 Audrey Roads Apt. 035, Kevinshire, TX 06976",41.30110669489048
53,Morgan Johnson,"3607 Connor Turnpike Apt. 746, North Christina, DE 77728",24.441226281636098
54,Robert Smith,"0194 Adams Turnpike, Phillipbury, RI 98039",73.11296610847393
55,Brooke Powers,"1070 Mcgee Camp, Lake Katiemouth, AZ 10725",53.197148496987865
56,Tyler Davies,"4344 James Course, Stevenstown, MD 40193",41.894724114059024
57,Danielle Harrison,"0406 Roger Corner Apt. 465, North Angela, KS 37748",20.625227966512547
58,Nicole Ross,"04942 Ryan Oval Suite 217, Thompsonfurt, NY 81230",18.250447992766752
59,Amanda Burch,"7898 Richard Valleys, Lovemouth, RI 74464",76.40649889400002
60,Mr. Joseph Odonnell,"4742 Gonzales Center Apt. 925, New Joseph, CA 31579",86.08918856420205
61,Chad Simpson,"73630 Michael Ford, North Cassandratown, PR 09667",47.92986351296643
62,Monica Collins,"4004 Ronald Point Suite 544, North Brandi, WV 78688",26.263824745056468
63,Gary Kim,"37657 Barbara Crest, Jamesfurt, LA 72953",21.352291210813043
64,Mr. Evan Holt,"2156 Janet Fall, Lake Phillip, HI 62623",75.18597188105595
65,Holly Joyce,"625 Kelly Trail, West Brittanyfurt, WA 46308",72.5996553922578
66,Robert Wu,"4550 Stephanie Courts, Ibarrahaven, LA 23194",31.453667259407403
67,Brandon Torres,"9754 Scott Shoals Apt. 005, Jonathanshire, SD 90589",79.95633873013774
68,Bradley Goodwin,"83187 Wagner Course, Patriciamouth, OK 55642",73.67094750834374
69,Benjamin Riley,"08351 Alexis Light Apt. 930, Tracyview, IN 62517",39.467411871911466
70,Bethany Andrews,"7985 Mcknight Stravenue Suite 274, Byrdfurt, IN 30701",77.51875353734165
71,Nancy Lowe,"0805 Keith Ferry Apt. 295, Millsstad, MS 69142",12.00788605696167
72,Scott Alvarado,"62805 Rogers Shoal Suite 506, Lake Monique, KS 73074",50.76516969886626
73,Patrick Avery,"421 Matthew Harbors, Butlerland, PW 21299",55.98611035043762
74,Christine Harris,"79468 Dawn Curve, Livingstonville, AR 56459",12.85971631761359
75,Jamie Bond,"5491 Matthew Rapid Apt. 167, New Rickymouth, KY 87967",12.857407062138918
76,Patricia Lopez,"6057 Kenneth Passage Apt. 689, North Elizabethshire, WI 93054",28.213931830177092
77,Kelly Cardenas,"33486 Garcia Shore, Andrewfort, KY 75458",94.19801444455572
78,Sheila Lee,"144 Alexander Locks, Robertmouth, HI 06549",10.17138663837247
79,Gerald Diaz,"USS Walker, FPO AE 57235",25.660254216032307
80,Debra Espinoza MD,"55858 Miller Viaduct, Besttown, AS 10236",29.05993015542829
81,Crystal Nguyen,"818 Thomas Causeway Apt. 315, Stewartview, SD 35933",18.647538311656042
82,Stephanie Flores,"2287 Andrew Drive Suite 656, Banksview, ND 96381",75.17514474661544
83,Taylor Colon,"8173 Timothy Mountains, Gomezchester, MN 83993",20.44254888507959
84,John Richardson,"040 Martinez Mount Suite 930, South Michelle, MS 54155",20.817254385562848
85,Donald Griffin,"049 Lisa Glen, East Josephton, LA 97840",22.744185390486347
86,Melissa Merritt,"7880 Williams Circle Suite 344, Erikborough, FL 99837",76.8804149614745
87,Stephen Coleman,"981 Christopher Estates, South Bruceport, FM 75651",82.79338371027326
88,Carl Rios,"51348 Christopher Way, Port John, PW 44215",76.65288689191215
89,Christopher Johnson,"0391 Hernandez Dam, Charlesview, GA 11231",67.60920399681737
90,Stacy Mccann,"228 Martin Cove, East Tammyshire, KS 04496",64.33887835973363
91,Paul Monroe MD,"70230 Joseph Burgs Apt. 753, Samuelburgh, NY 52358",21.42362608456232
92,Dana Davidson,"PSC 7377, Box 7894, APO AE 80613",36.98835393746424
93,Ralph Hoffman,"793 Mccall Summit, Callahanland, KY 74217",28.771648915828514
94,Sherry Duarte,"02885 Lee Isle Suite 057, Huntland, OK 23545",99.61273198861012
95,Lauren Moore,"6847 Jennifer Vista, South Christinefurt, KY 63752",57.00579423163607
96,William Jackson,"689 Martin Summit, South Jasontown, OK 63670",96.06678078093243
97,Heather Bernard,"5408 Cindy Underpass Suite 414, Glassberg, AS 66966",43.735338424503404
98,Kevin Leonard,"706 Lauren Square Suite 994, South Theresaburgh, PW 17203",51.10350826307419
99,Christopher Mathis,"912 Gary Tunnel Apt. 482, Port Kevin, NJ 34892",25.941880097360485
100,Nicholas Chang,"745 Elizabeth Flats Suite 808, Wesleyburgh, ME 37612",41.55105854687835
